"store_id","store_name","si_name","si_size","git_size","unit_count","si_id","git_id","store_item_active","si_instock","si_image","git_image","price","si_upc","git_upc"
"a55f34d3-b6f4-4d97-941a-d3aece68d4d5","Jacksons Food Stores #615","Jacksons Berry N Cheese Danish","1 ct","5 oz",NULL,"dedfdf9e-7191-404d-ae0c-91292654dce1","064c9003-5c4a-49aa-9d55-b7fc49afe61d",True,True,"{https://lula-inventory-service-production.s3.amazonaws.com/images/a55f34d3-b6f4-4d97-941a-d3aece68d4d5/Snacks/dedfdf9e-7191-404d-ae0c-91292654dce1_1698060358036.webp}","{https://lula-inventory-service-production.s3.amazonaws.com/images/28128e5b-f418-423f-8e56-7a5081ea15d3/Grocery/6c726d18-e497-49dd-9236-6eae77a9fca6.webp}",2.79,NULL,"728498159009"
"a55f34d3-b6f4-4d97-941a-d3aece68d4d5","Jacksons Food Stores #615","Jacksons Dark Chocolate Almond","13 oz","13 oz",NULL,"46b5d2fd-5159-41fb-b52f-0c442b3d09e7","b823cdc0-8fa5-4354-aa1b-796445a34c4f",True,True,"{https://lula-inventory-service-production.s3.amazonaws.com/images/a55f34d3-b6f4-4d97-941a-d3aece68d4d5/Snacks/46b5d2fd-5159-41fb-b52f-0c442b3d09e7_1698060376827.webp}","{https://lula-inventory-service-production.s3.amazonaws.com/images/28128e5b-f418-423f-8e56-7a5081ea15d3/Candy/583d24e2-f60e-4ecb-b713-defd29878290.webp}",7.99,NULL,"983642005117"
"a55f34d3-b6f4-4d97-941a-d3aece68d4d5","Jacksons Food Stores #615","Jacksons Italian Sandwich","6.4 oz","6.4 oz",NULL,"174478a1-1cf6-4491-ad52-fbb83547fc6c","4597b913-02a1-492f-989c-d06809152159",True,True,"{https://lula-inventory-service-production.s3.amazonaws.com/images/a55f34d3-b6f4-4d97-941a-d3aece68d4d5/Quick-Meals/174478a1-1cf6-4491-ad52-fbb83547fc6c_1698060395531.webp}","{https://lula-inventory-service-production.s3.amazonaws.com/images/28128e5b-f418-423f-8e56-7a5081ea15d3/Sandwiches/6c6bc8b0-e7da-4374-8435-d7af1b656b98.webp}",4.99,NULL,"983642601555"
"a55f34d3-b6f4-4d97-941a-d3aece68d4d5","Jacksons Food Stores #615","Built Bar Puff Brwnie Bat 1.41z","1 ct","1.41 oz",NULL,"47f7c943-c6aa-4b4e-8945-0bc62413d3dd","2a74601f-151a-4653-88f3-324c48390b8e",True,True,NULL,"{https://lula-inventory-service-production.s3.amazonaws.com/images/28128e5b-f418-423f-8e56-7a5081ea15d3/Snacks/ffd07824-d605-45fb-a920-f2f326c0b560.webp}",3.99,NULL,"840229303625"
"a55f34d3-b6f4-4d97-941a-d3aece68d4d5","Jacksons Food Stores #615","Cattleman Cut Hunter Sausage 2.75oz","1 ct","2.75 oz",NULL,"c0aba0e2-1499-4dca-a512-f743f13b4ef7","7b8c3c4d-00a7-4c14-aabd-49f90bde8d66",True,True,NULL,"{https://lula-inventory-service-production.s3.amazonaws.com/images/28128e5b-f418-423f-8e56-7a5081ea15d3/Snacks/bd3fcf5d-a994-417e-b3e2-8c9dc7ddb4b0.webp}",4.69,NULL,"44900305056"
"a55f34d3-b6f4-4d97-941a-d3aece68d4d5","Jacksons Food Stores #615","Heath Toffee Reg","1 ct","1.4 oz",NULL,"cfff0746-5c09-4624-9c27-e098a7398bae","d52152d0-c620-41d0-8ffc-9f72cd5b72be",True,True,NULL,"{https://lula-inventory-service-production.s3.amazonaws.com/images/28128e5b-f418-423f-8e56-7a5081ea15d3/Candy/c276770a-f354-44b3-b542-5fb87e4c32dd.webp}",1.99,NULL,"10700060808"
"a55f34d3-b6f4-4d97-941a-d3aece68d4d5","Jacksons Food Stores #615","J Link Flamin Hot Jerky Stck .92oz","FL JERKY STCK .92 oz","0.92 oz",NULL,"61eab4d2-9fcf-47d7-96fa-36ec30b8b543","0a75eeaa-e225-45e1-a439-ef108e35f534",True,True,NULL,"{https://lula-inventory-service-production.s3.amazonaws.com/images/72095a53-36fd-443a-9000-572213fed4c8/Snacks/2b24640a-5e1e-4225-b688-734544c2a1aa.webp}",1.79,NULL,"28400712989"
"a55f34d3-b6f4-4d97-941a-d3aece68d4d5","Jacksons Food Stores #615","Dakota Style Dill Pickle","","4.5 oz","","2158aa6b-4c41-4b4c-acfd-8b387623059a","0f1448dc-42de-40a1-a9db-22c2d5d863b0",True,True,"{}","{https://lula-inventory-service-production.s3.amazonaws.com/images/28128e5b-f418-423f-8e56-7a5081ea15d3/Snacks/14072257-7d17-4779-aaed-954b5c27fff8.webp}",3.99,NULL,"84872600285"
"a55f34d3-b6f4-4d97-941a-d3aece68d4d5","Jacksons Food Stores #615",NULL,"","3 oz","","cf255951-503a-470b-a36e-9c53eff6461e","edb24ef5-2d87-4c6b-bd29-da904dacf408",True,True,"{""""}","{https://lula-inventory-service-production.s3.amazonaws.com/images/28128e5b-f418-423f-8e56-7a5081ea15d3/Snacks/3627dad4-907a-4cba-bd9e-29e7e9c53565.webp}",11.69,NULL,"838154000023"
"a55f34d3-b6f4-4d97-941a-d3aece68d4d5","Jacksons Food Stores #615",NULL,"","1.94 oz","","48078074-11a8-4689-a9da-5d67e7f18590","766d54e9-d8ff-4525-9f7f-c759d8d605e5",True,True,"{""""}","{https://lula-inventory-service-production.s3.amazonaws.com/images/28128e5b-f418-423f-8e56-7a5081ea15d3/Snacks/a12a8fb4-ab1e-4a5e-b508-224e42bda8f6.webp}",3.19,NULL,"850000429413"
